NCT00111501,both,LGBT Internet Based Smoking Treatment - 1,"The overall goals of this line of research are to develop and evaluate innovative treatments for lesbian, gay, bisexual, and transgender (LGBT) cigarette smokers and to understand the processes related to smoking and relapse in this previously unstudied population of smokers. In this study, participants are randomly assigned to one of two Internet-based smoking cessation treatments: 1) a self-help intervention tailored LGBT smokers plus social support plus email-based counseling, or 2) a standard self-help condition alone, similar to other general smoking cessation treatments. Before starting the program, participants will complete measures of smoking, nicotine dependence, depression diagnosis, demographics, mood, motivation to change, and alcohol use. Smoking status will be determined at 1, 3, 6, and 12 months following the start of treatment. Data will be analyzed to compare the quit rates of the two Internet-based treatment groups. Also, we will complete exploratory analyses to determine those variables that best predict quitting for LGBT smokers.",,"Must identify as a lesbian, gay male, bisexual male or female or a transgender individual. Must smoke most days during the preceding month. Must have a valid email address."
NCT00135148,female,Decrease of Libido of Post-Operative Male-Female Transsexuals and a Healthy Female Control Group,Participants fill out a questionnaire on libido and their possible partner relationship.# A blood sample is taken for sex steroid analysis.,,Inclusion Criteria:# - Transsexual women with completed adaptation of the sex (all surgical procedures and hormonal treatments)# - The female control group must be 18-45 years
NCT00146146,female,Testosterone and Its Metabolites in GID,"The purposes of this study are:# - to determine the role of testosterone versus dihydrotestosterone with respect to the following physiological functions: bone metabolism, body composition, insulin resistance and lipid profile# - to determine the role of testosterone and dihydrotestosterone versus estradiol with respect to the following physiological functions: bone metabolism, body composition, insulin resistance and lipid profile",,"Inclusion Criteria:# Healthy biological females, between 18 and 45 years of age:# - SR surgery performed# - Body Mass Index (BMI) between 20 and 29 kg/m; (body weight in kilograms divided by body height in meters squared)# - Clinical examination without pathological findings relevant to the study# - Clinico-chemical laboratory values do not suggest an illness# - Written Consent Form has been signed# - High probability of a good compliance and termination of the study# Exclusion Criteria:# Subjects cannot be enrolled in this study if one or more of the following criteria apply:# - Participation in another clinical trial within the 30 days preceding the first administration# - Simultaneous participation in another clinical trial# - Subjects institutionalized or imprisoned by order of the court# - Subject who compete in sports which use IOC drug monitoring# - Serious organic or psychic disease suspected from history and/or clinical examination# - Diseases (especially tumors) that might represent an actual contraindication for testosterone# - Past or present history of thrombotic or embolic diseases# - Hypertension requiring therapy (BP 140/90 mmHg)# - Diabetes mellitus requiring therapy# - Acute or chronic hepatic diseases# - Manifest renal diseases with renal dysfunction# - Severe internal diseases as well as use of any medication to treat such# - Biochemical and/or hematological laboratory values beyond normal ranges unless the Investigator confirms that the deviations are of no clinical relevance# - Any indication of chronic use of drugs, alcohol, opiates or recreational drugs# - Use of any drug known to affect biotransformation of testosterone and/or progestin, e.g. chlorcycline, phenobarbital, phenylbutazone, aminophenazone within the 30 days preceding the first administration of the test medication and during the study# - Use of oral anticoagulatory drugs within the 30 days preceding the first administration of the test medication and during the study# - Any oral or transdermal hormone medication within the 12 weeks preceding the first administration and during the study# - Probability of poor compliance and termination of the study"
NCT00241202,both,The Efficacy of the HIV/AIDS Symptom Management Manual,"The goals of this research are: 1) To test the efficacy of a self-care symptom management manual by examining whether people who use the manual find it to be useful; 2) To examine symptom and demographic data related to self-care behaviors, symptom control, medication adherence and enhanced quality of life.# The University of California, San Francisco is the coordinating site for this multi-site international study.",,"Inclusion Criteria:# - Diagnosed HIV/AIDS# - Adult (men and women, transgender)# - Presence of at least one symptom within the past week# - Consent# - May or may not be pregnant# - May or may not be on ART# - Able to use the manual with or without family support# Exclusion Criteria:# - Documented diagnosis of dementia# - Unable to understand consent procedure as judged by the person getting consent# - Self-reporting no symptoms within the past week# - Self-reports having had experience with a self-care Symptom Management Manual"
NCT00435513,both,A Common Polymorphism of the SRD5A2 Gene is Not Associated With Male-to-Female and Female-to-Male Transsexualism,"Genetic variations, i.e. polymorphisms, may be associated with gender dysphoria, e.g. transsexualism. This study aims to identify such variations.",,Inclusion Criteria:# - transsexual individuals as defined by DSM IV criteria# Exclusion Criteria:# - unwillingness to participate
NCT00634218,both,"Reaching and Treating Lesbian, Gay, Bisexual, and Transgender (LGBT) Cigarette Smokers","Smoking rates are significantly higher among lesbian, gay, bisexual, and transgender (LGBT) populations compared to the general population. LGBT individuals may be at increased risk for experiencing psychosocial issues, e.g., negative moods, stress, alcohol/drug use, that have been associated with smoking treatment failure in other groups of smokers. Technology, such as the Internet and telephone, can be an effective method to reach a large number of smokers and may be particularly effective in reaching hidden populations. Thus, the study seeks to examine whether Internet-based counseling and/or telephone counseling can improve quit rates for LGBT smokers.# Participants (N=600) will be randomly assigned to one of four conditions: 1) a Mail-based Self Help (MSH) treatment; 2) MSH plus an Internet-based Smoking Treatment (IST); MSH plus Telephone Counseling (TC) or 4) MSH plus IST plus TC. Participants in the MSH condition will receive a self-help smoking cessation manual. In the IST condition, participants will receive the manual plus access to an Internet-based intervention that includes social support. In the TC condition, participants will receive the manual plus 6 telephone-based counseling sessions. In the fourth condition, participants will receive the manual plus access to an Internet-based intervention plus telephone counseling. Before starting treatment, participants will complete questionnaires on smoking, nicotine dependence, demographics, negative mood, and alcohol use. Participants will be contacted at 3, 6, and 12 months after enrollment to determine whether they are smoking. The data will be analyzed to compare the efficacy of the four treatments and to examine the possible influence of existing social networks and level of negative mood on treatment outcome and to examine the possible influence of residency (rural versus urban) on use of the Internet-based treatment.",,"Inclusion Criteria:# - 18 years of age# - identify as lesbian, gay, bisexual, or transgender# - access to the internet# - valid email account# - valid telephone number# - English speaking# - resident of the U.S.# Exclusion Criteria:"
NCT00865566,male,"Safety and Effectiveness of HIV-1 DNA Plasmid Vaccine and HIV-1 Recombinant Adenoviral Vector Vaccine in HIV-Uninfected, Circumcised Men and Male-to-Female (MTF) Transgender Persons Who Have Sex With Men","The purpose of this study is to determine the safety and efficacy of a VRC DNA/rAd5 vaccine regimen in healthy, circumcised men and male-to-female (MTF) transgender persons who have sex with men.# NOTE:# As of April 2013, all vaccinations in this study have been stopped.",,"Inclusion Criteria:# - HIV-1 and -2 negative# - Good general health# - Fully circumcised# - Experienced one or both of the following HIV risk criteria in the 6 months before study entry:# 1. Unprotected anal intercourse with one or more male or MTF transgender partner(s)# 2. Anal intercourse with two or more male or MTF transgender partners# - Alanine aminotransferase (ALT) 2.5 or less times the upper limit of normal (ULN)# - Ad5 neutralizing antibody (nAb) titer less than 1:18# - Have access to a participating study site and are willing to be followed during the study# - Demonstrate understanding of the study# - Willing to receive HIV test results# - Willing to discuss HIV infection risks and amenable to risk-reduction counseling# - Agrees not to enroll in another study of an investigational research agent before unblinding of this study# - NOTE: MTF transgender volunteers who have undergone gender reassignment surgery (GRS) are eligible to participate if they provide documentation from a health care provider confirming that they were fully circumcised prior to GRS. MTF transgender volunteers who have not undergone GRS are eligible to participate if they meet all enrollment criteria. Receipt of hormonal therapy does not make a transgender volunteer ineligible.# Exclusion Criteria:# - HIV vaccines in prior HIV vaccine trial. Participants who can provide documentation that they received a placebo in a prior HIV trial may be eligible.# - Used antiretroviral (ARV) drugs for the purpose of HIV-1 prophylaxis for greater than or equal to 50% of days during the 3 months prior to first vaccination or for 30 consecutive days within the 60 days prior to first vaccination# - Circumcised within 90 days prior to first vaccination or displays evidence that surgical site is not fully healed# - Immunosuppressive medications within 168 days prior to first study vaccination. Participants who have used corticosteroid nasal sprays for allergic rhinitis; topical corticosteroids for mild, uncomplicated dermatitis; or oral/parenteral corticosteroids for nonchronic conditions are not excluded.# - Blood products within 90 days prior to first study vaccination# - Immunoglobulin within 90 days prior to first study vaccination# - Live attenuated vaccines other than influenza vaccine within 30 days prior to first study vaccination# - Investigational research agents within 90 days prior to first study vaccination# - Influenza vaccine or any vaccines that are not live attenuated within 14 days prior to first study vaccination# - Allergy treatment with antigen injections within 30 days prior to first study vaccination or that are scheduled within 14 days after first vaccination# - Clinically significant medical condition, physical examination findings, abnormal laboratory results, or past medical history that, in the judgment of the investigator, has significant implications for current health# - Any medical, psychiatric, or job-related responsibility that would interfere with the study. More information about this criterion can be found in the protocol.# - Any concern that, in the opinion of the investigator, may interfere with a participant's completion of the post-vaccination symptom log# - History of serious adverse reactions to vaccinations, including anaphylaxis or allergy to any of the vaccine's components# - Current anti-tuberculosis prophylaxis or therapy# - Autoimmune disease. People with mild, stable, and uncomplicated autoimmune disease that does not require immunosuppressive medication and that, in the judgment of the site investigator, is likely not subject to exacerbation and likely not to complicate reactogenicity and adverse event assessments are not excluded.# - Immunodeficiency# - Bleeding disorder# - History of malignancy# - Seizure disorder. People with a history of seizures who have had no seizures within the 3 years prior to study entry are not excluded.# - Asthma other than mild, well-controlled asthma# - Hereditary angioedema (HAE), acquired angioedema (AAE), or idiopathic angioedema"
NCT01065220,both,Sex Steroids and the Serotonin Transporter,"The aim of this study is to prove the influence of the sex steroid hormones estrogen, progesterone and testosterone on the serotonin transporter (5-HTT) binding using positron emission tomography (PET) and the selective radioligand [11C]DASB. Specifically, the 5-HTT binding will be quantified before and after hormone therapy underwent by 10 male-to-female (MtF) and 10 female-to-male (FtM) transsexuals urging for hormone treatment. The high-level, long-term administration of opsite sex steroid hormones in transsexuals provide the unique opportunity to investigate the influence of sex steroid hormones on the serotonergic system. Since the serotonin transporter serves as a primary target molecule for antidepressant treatment, the results of the study will be of benefit for the assessment of the clinical relevance of estrogen and testosterone as modulatory and neuroactive agents.",,Inclusion Criteria:# - somatic health# - no previous sex hormone medication# - willingness to sign the written informed consent# Exclusion Criteria:# - severe diseases# - steroid hormone treatment within 6 months prior inclusion# - treatment with psychotropic agents such as selective serotonin reuptake inhibitors (SSRIs)# - any implant or stainless steel graft# - positive urine pregnancy test in women at the screening visit at each PET day
NCT01072825,both,A European Network for the Investigation of Gender Incongruence,"The physical and psychological effects of the hormonal treatment of transsexual persons are not sufficiently described. 'Transparency' wants to answer this question in a prospective manner, in a multicenter study to describe these effects. The low prevalence of transsexualism was the stimulus to search for European partners for this Protocol. A common standardized hormonal protocol was designed.",,"Inclusion Criteria:# - Transsexual persons older then 18 years, who are not yet treated with hormonal therapy.# Exclusion Criteria:"
NCT01283360,male,Microbicide Safety and Acceptability in Young Men,"After completing a screening evaluation, 280 eligible participants, including 40 sex workers, will be enrolled into Stage 1A of the study during which they will undergo a baseline medical evaluation for both history and presence of STIs and anorectal health pathologies or injuries, as well as a detailed Web-based baseline behavioral assessment. The first 140 eligible participants, including 20 sex workers, reporting at least one occasion of unprotected RAI in the previous 3 months will be invited to enroll into Stage 1B. In Stage 1B participants will apply the universal placebo gel (HEC) rectally prior to each episode of RAI over a 3-month period, reporting each use via a phone reporting system; they will complete a Web-based questionnaire and take part in a video teleconference at the end of the 3 months. The first 24 eligible participants completing Stage 1B will be invited to enroll in Stage 2. The subset of sex workers who took part in Stages 1A and 1B will terminate participation at the end of 1B. Eligible participants will be randomized to receive either tenofovir 1% gel or HEC placebo gel as part of Stage 2, the Phase 1 safety study. Following a baseline visit, participants will return to the clinic, where a single dose of the study gel will be administered. Within approximately 30 minutes, rectal swab and rectal biopsy specimens will be obtained via anoscopy. After a one-week recovery period participants will return to the clinic for assessment. If no significant adverse events (AEs) are reported they will begin to self-administer once-daily outpatient doses of the study gel for 7 days, after which they will return to the clinic for evaluation and specimen collection.",,"Inclusion Criteria for Participants in Stage 1A (non sex-workers):# 1. Willing and able to provide written informed consent to take part in the study# 2. Willing and able to communicate in English or Spanish# 3. Must agree not to participate in other drug trials# 4. Biologically male and identifies as male# 5. Age 18-30 years at screening# 6. HIV-1 status antibody negative or unknown per patient report# 7. Understands and agrees to local STI reporting requirements# 8. Able and willing to provide adequate information for locator purposes# 9. Availability to return for all study visits, barring unforeseen circumstances# 10. A history of consensual RAI at least once in past month# 11. Reporting at least one occasion of unprotected RAI in the prior year* In order to identify participants at increased risk for acquiring HIV# Inclusion Criteria for Participants in Stage 1A (sex-workers):# 1. Willing and able to provide written informed consent to take part in the study# 2. Willing and able to communicate in English or Spanish# 3. Must agree not to participate in other drug trials# 4. Biologically male, including male-to-female transgender women# 5. Age 18-30 years at screening# 6. HIV-1 status antibody negative or unknown per patient report# 7. Understands and agrees to local STI reporting requirements# 8. Able and willing to provide adequate information for locator purposes# 9. Availability to return for all study visits, barring unforeseen circumstances# 10. A history of consensual RAI at least once in past month# 11. Reporting at least one occasion of unprotected RAI in the prior year*# 12. Reporting at least two occasions of RAI as part of transactional sex (i.e., having received money or other goods/services in exchange for sex) in the prior 2 months*# - In order to identify participants at increased risk for acquiring HIV# Inclusion Criteria for Participants in Stage 1B (both sex workers and non sex-workers):# 1. Completed Stage 1A# 2. HIV-1 uninfected at screening based on HIV rapid test results# 3. Reports unprotected RAI in the prior three months on at least one occasion* In order to obtain acceptability data from individuals most likely to benefit from microbicide availability# 4. Availability to return for all Stage 1B visits, barring unforeseen circumstances# Inclusion Criteria for Participants in Stage 2:# 1. Completed study stage 1AB# 2. HIV-1 uninfected at screening based on HIV rapid test results# 3. Availability to return for all Stage 2 visits, barring unforeseen circumstances# Exclusion Criteria for Participants in Stage 1A (both sex workers and non sex-workers):# 1. Any condition or prior therapy that, in the opinion of the investigator, would make study participation unsafe, make the individual unsuitable for the study or unable to comply with the study requirements. Such conditions may include, but are not limited to, current or recent history of severe, progressive, or uncontrolled substance abuse, or renal, hepatic, hematological, gastrointestinal, endocrine, pulmonary, neurological, or cerebral disease# Exclusion Criteria for Participants in Stage 1B (both sex workers and non sex-workers):# 1. Clinical or laboratory diagnosis of active rectal infection requiring treatment per current CDC guidelines. Infections requiring treatment include Chlamydia (CT), gonorrhea (GC), syphilis, active HSV lesions, chancroid, genital sores or ulcers, and if clinically indicated, genital warts. Note that an HSV-2 seropositive diagnosis with no active lesions is allowed, since treatment is not required# 2. Positive Hepatitis B surface antigen test indicating hepatitis B infection# 3. Allergy to methylparaben, propylparaben, or latex# 4. History of significant drug allergy or recurrent urticaria# 5. History of inflammatory bowel disease# 6. Currently engage or plan to engage in unprotected RAI with HIV-infected partners# 7. By participant report planning to receive another investigational drug while participating in this study# 8. Any other condition or prior therapy that, in the opinion of the investigator, would make study participation unsafe, make the individual unsuitable for the study or unable to comply with the study requirements. Such conditions may include, but are not limited to, current or recent history of severe, progressive, or uncontrolled substance abuse, or renal, hepatic, hematological, gastrointestinal, endocrine, pulmonary, neurological, or cerebral disease# Exclusion Criteria for Participants in Stage 2:# 1. Meet any of the exclusion criteria for Stage 1B# 2. Reporting a history of transactional sex (i.e., having received money or other goods/services in exchange for sex) in the prior 6 months# 3. Undergoing or completed gender reassignment# 4. Grade 2 or higher liver function, creatinine, coagulation, electrolyte, or hematology abnormality in accordance with DAIDS toxicity table values (normal values based on site specific laboratory criteria) at screening (or Visit 2 PT/INR for coagulation), and confirmed by retest/and or redraw# 5. History of significant gastrointestinal bleeding# 6. History of inflammatory bowel disease# 7. Abnormalities of the rectal mucosa, or significant rectal symptom(s), which in the opinion of the clinician represents a contraindication to biopsy (including but not limited to presence of any unresolved injury, infectious or inflammatory condition of the local mucosa, and presence of symptomatic external hemorrhoids# 8. Per participant report, anticipated use and/or unwillingness to abstain from the following medications during the period of Stage 2 study participation:# 1. Heparin, including Lovenox# 2. Warfarin# 3. Plavix (clopidogrel bisulfate)# 4. Aspirin >81 mg per day# 5. Non-steroidal anti-inflammatory drugs (NSAIDS)# 6. Any other drugs that are associated with increased likelihood of bleeding following rectal biopsy# 9. By participant report, use of systemic immunomodulatory medications within the 4 weeks prior to the Stage 2 Enrollment Visit and throughout study participation# 10. By participant report, use of rectally administered medications, rectally administered products (including condoms) containing N-9, or any investigational products within the 2 weeks or 10 half-lives of the drug, whichever is longer, prior to the Stage 2 Enrollment Visit, or is planning to receive another investigational drug while participating in this study# 11. Any other condition or prior therapy that, in the opinion of the investigator, would make study participation unsafe, make the individual unsuitable for the study or unable to comply with the study requirements. Such conditions may include, but are not limited to, current or recent history of severe, progressive, or uncontrolled substance abuse, or renal, hepatic, hematological, gastrointestinal, endocrine, pulmonary, neurological, or cerebral disease -"
